SITE,TRANSECT,YEAR,SP_CODE,mean_wet_weight,median_dry_weight,median_wet_weight,mean_dry_weight,NETWORK,PI,QUAD,SIDE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NOTES,geometry,transect_mean_wet_weight,transect_median_dry_weight,transect_median_wet_weight,transect_mean_dry_weight
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,0,O,2,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",89.94021992125478,NA,84.4392479849303,NA
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,16,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",44.97010996062739,NA,42.21962399246515,NA
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",0,NA,0,NA
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,32,O,2,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",89.94021992125478,NA,84.4392479849303,NA
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,40,I,8,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",359.7608796850191,NA,337.7569919397212,NA
Fort Weatherill,1,2016,LADI,44.97010996062739,NA,42.21962399246515,NA,KEEN ONE,Humphries,8,I,8,1,Algae,Phaeophyta,Brown Algae,NA,Fingered Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NA,"c(-71.3664210546525, 41.4772145407588)",359.7608796850191,NA,337.7569919397212,NA
Fort Weatherill,1,2016,SL,24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006,KEEN ONE,Humphries,0,O,16,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-71.3664210546525, 41.4772145407588)",384.81728504019816,29.15918175680096,265.3890197902104,29.15918175680096
Fort Weatherill,1,2016,SL,24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006,KEEN ONE,Humphries,16,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-71.3664210546525, 41.4772145407588)",24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006
Fort Weatherill,1,2016,SL,24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006,KEEN ONE,Humphries,24,I,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-71.3664210546525, 41.4772145407588)",24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006
Fort Weatherill,1,2016,SL,24.051080315012385,1.82244885980006,16.58681373688815,1.82244885980006,KEEN ONE,Humphries,32,O,3,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-71.3664210546525, 41.4772145407588)",72.15324094503715,5.46734657940018,49.76044121066445,5.46734657940018
